date_key,order_date,year,quarter,month,month_name,year_month,week_of_year,day,weekday_name
20170820,2017-08-20,2017,Q3,8,Aug,2017-08,33,20,Sunday
20170821,2017-08-21,2017,Q3,8,Aug,2017-08,34,21,Monday
20170822,2017-08-22,2017,Q3,8,Aug,2017-08,34,22,Tuesday
20170823,2017-08-23,2017,Q3,8,Aug,2017-08,34,23,Wednesday
20170824,2017-08-24,2017,Q3,8,Aug,2017-08,34,24,Thursday
20170825,2017-08-25,2017,Q3,8,Aug,2017-08,34,25,Friday
20170826,2017-08-26,2017,Q3,8,Aug,2017-08,34,26,Saturday
20170827,2017-08-27,2017,Q3,8,Aug,2017-08,34,27,Sunday
20170828,2017-08-28,2017,Q3,8,Aug,2017-08,35,28,Monday
20170829,2017-08-29,2017,Q3,8,Aug,2017-08,35,29,Tuesday
20170830,2017-08-30,2017,Q3,8,Aug,2017-08,35,30,Wednesday
20170831,2017-08-31,2017,Q3,8,Aug,2017-08,35,31,Thursday
20170901,2017-09-01,2017,Q3,9,Sep,2017-09,35,1,Friday
20170902,2017-09-02,2017,Q3,9,Sep,2017-09,35,2,Saturday
20170903,2017-09-03,2017,Q3,9,Sep,2017-09,35,3,Sunday
20170904,2017-09-04,2017,Q3,9,Sep,2017-09,36,4,Monday
20170905,2017-09-05,2017,Q3,9,Sep,2017-09,36,5,Tuesday
20170906,2017-09-06,2017,Q3,9,Sep,2017-09,36,6,Wednesday
20170907,2017-09-07,2017,Q3,9,Sep,2017-09,36,7,Thursday
20170908,2017-09-08,2017,Q3,9,Sep,2017-09,36,8,Friday
20170909,2017-09-09,2017,Q3,9,Sep,2017-09,36,9,Saturday
20170910,2017-09-10,2017,Q3,9,Sep,2017-09,36,10,Sunday
20170911,2017-09-11,2017,Q3,9,Sep,2017-09,37,11,Monday
20170912,2017-09-12,2017,Q3,9,Sep,2017-09,37,12,Tuesday
20170913,2017-09-13,2017,Q3,9,Sep,2017-09,37,13,Wednesday
20170914,2017-09-14,2017,Q3,9,Sep,2017-09,37,14,Thursday
20170915,2017-09-15,2017,Q3,9,Sep,2017-09,37,15,Friday
20170916,2017-09-16,2017,Q3,9,Sep,2017-09,37,16,Saturday
20170917,2017-09-17,2017,Q3,9,Sep,2017-09,37,17,Sunday
20170918,2017-09-18,2017,Q3,9,Sep,2017-09,38,18,Monday
20170919,2017-09-19,2017,Q3,9,Sep,2017-09,38,19,Tuesday
20170920,2017-09-20,2017,Q3,9,Sep,2017-09,38,20,Wednesday
20170921,2017-09-21,2017,Q3,9,Sep,2017-09,38,21,Thursday
20170922,2017-09-22,2017,Q3,9,Sep,2017-09,38,22,Friday
20170923,2017-09-23,2017,Q3,9,Sep,2017-09,38,23,Saturday
20170924,2017-09-24,2017,Q3,9,Sep,2017-09,38,24,Sunday
20170925,2017-09-25,2017,Q3,9,Sep,2017-09,39,25,Monday
20170926,2017-09-26,2017,Q3,9,Sep,2017-09,39,26,Tuesday
20170927,2017-09-27,2017,Q3,9,Sep,2017-09,39,27,Wednesday
20170928,2017-09-28,2017,Q3,9,Sep,2017-09,39,28,Thursday
20170929,2017-09-29,2017,Q3,9,Sep,2017-09,39,29,Friday
20170930,2017-09-30,2017,Q3,9,Sep,2017-09,39,30,Saturday
20171001,2017-10-01,2017,Q4,10,Oct,2017-10,39,1,Sunday
20171002,2017-10-02,2017,Q4,10,Oct,2017-10,40,2,Monday
20171003,2017-10-03,2017,Q4,10,Oct,2017-10,40,3,Tuesday
20171004,2017-10-04,2017,Q4,10,Oct,2017-10,40,4,Wednesday
20171005,2017-10-05,2017,Q4,10,Oct,2017-10,40,5,Thursday
20171006,2017-10-06,2017,Q4,10,Oct,2017-10,40,6,Friday
20171007,2017-10-07,2017,Q4,10,Oct,2017-10,40,7,Saturday
20171008,2017-10-08,2017,Q4,10,Oct,2017-10,40,8,Sunday
20171009,2017-10-09,2017,Q4,10,Oct,2017-10,41,9,Monday
20171010,2017-10-10,2017,Q4,10,Oct,2017-10,41,10,Tuesday
20171011,2017-10-11,2017,Q4,10,Oct,2017-10,41,11,Wednesday
20171012,2017-10-12,2017,Q4,10,Oct,2017-10,41,12,Thursday
20171013,2017-10-13,2017,Q4,10,Oct,2017-10,41,13,Friday
20171014,2017-10-14,2017,Q4,10,Oct,2017-10,41,14,Saturday
20171015,2017-10-15,2017,Q4,10,Oct,2017-10,41,15,Sunday
20171016,2017-10-16,2017,Q4,10,Oct,2017-10,42,16,Monday
20171017,2017-10-17,2017,Q4,10,Oct,2017-10,42,17,Tuesday
20171018,2017-10-18,2017,Q4,10,Oct,2017-10,42,18,Wednesday
20171019,2017-10-19,2017,Q4,10,Oct,2017-10,42,19,Thursday
20171020,2017-10-20,2017,Q4,10,Oct,2017-10,42,20,Friday
20171021,2017-10-21,2017,Q4,10,Oct,2017-10,42,21,Saturday
20171022,2017-10-22,2017,Q4,10,Oct,2017-10,42,22,Sunday
20171023,2017-10-23,2017,Q4,10,Oct,2017-10,43,23,Monday
20171024,2017-10-24,2017,Q4,10,Oct,2017-10,43,24,Tuesday
20171025,2017-10-25,2017,Q4,10,Oct,2017-10,43,25,Wednesday
20171026,2017-10-26,2017,Q4,10,Oct,2017-10,43,26,Thursday
20171027,2017-10-27,2017,Q4,10,Oct,2017-10,43,27,Friday
20171028,2017-10-28,2017,Q4,10,Oct,2017-10,43,28,Saturday
20171029,2017-10-29,2017,Q4,10,Oct,2017-10,43,29,Sunday
20171030,2017-10-30,2017,Q4,10,Oct,2017-10,44,30,Monday
20171031,2017-10-31,2017,Q4,10,Oct,2017-10,44,31,Tuesday
20171101,2017-11-01,2017,Q4,11,Nov,2017-11,44,1,Wednesday
20171102,2017-11-02,2017,Q4,11,Nov,2017-11,44,2,Thursday
